id,title,genres,averageRating,numVotes,releaseYear
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47141,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40372,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38544,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,37091,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30882,2021
tt1526318,Borgen,Drama,8.5,30637,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30156,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29600,2009
tt0043208,"I Love Lucy",Comedy,8.5,29500,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27288,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26960,2019
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25440,2023
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25422,1977
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23975,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23208,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22867,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,22137,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21552,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21512,2014
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21403,2002
tt7259746,"Queer Eye",Reality-TV,8.5,21373,2018
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20946,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20772,2016
tt1094229,Heartland,"Drama, Family",8.5,20716,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20549,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20067,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,20011,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19662,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19657,2020
tt0493331,"Barareh Nights",Comedy,8.5,18764,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17778,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17446,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17282,2015
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16681,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16014,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15982,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15789,2017
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15458,2020
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15374,1967
tt0098825,"House of Cards",Drama,8.5,15278,1990
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15265,2007
