id,title,genres,averageRating,numVotes,releaseYear
tt1552211,"The Last Days of American Crime","Action, Crime, Drama",3.8,12577,2020
tt10598156,Dhaakad,"Action, Thriller",3.8,12159,2022
tt2292959,"The Canyons","Drama, Thriller",3.8,12120,2013
tt0489598,"The Hills",Reality-TV,3.8,11619,2006
tt8328716,"Doom: Annihilation","Action, Adventure, Horror",3.8,10666,2019
tt0107612,"Mr. Nanny","Action, Comedy, Family",3.8,10361,1993
tt0082910,"Piranha II: The Spawning","Horror, Sci-Fi, Thriller",3.8,10179,1982
tt0220506,"Halloween: Resurrection","Horror, Thriller",3.9,50800,2002
tt0052077,"Plan 9 from Outer Space","Horror, Sci-Fi",3.9,41136,1957
tt1255919,"Holmes & Watson","Comedy, Crime, Mystery",3.9,40102,2018
tt0926129,"Prom Night",Horror,3.9,38642,2008
tt18072316,"Bade Miyan Chote Miyan","Action, Adventure, Sci-Fi",3.9,38509,2024
tt6513656,"Escape Plan 2: Hades","Action, Crime, Mystery",3.9,36121,2018
tt0365957,"You Got Served","Drama, Music",3.9,28840,2004
tt0180052,"The Adventures of Pluto Nash","Action, Comedy, Sci-Fi",3.9,27362,2002
tt1014775,"Beverly Hills Chihuahua","Adventure, Comedy, Drama",3.9,26316,2008
tt1139592,"Jeepers Creepers III",Horror,3.9,25121,2017
tt1563069,"Jersey Shore","Comedy, Reality-TV, Romance",3.9,24734,2009
tt5882970,Tubelight,"Drama, War",3.9,22069,2017
tt1656171,Dam999,"Adventure, Drama, Sci-Fi",3.9,20749,2011
tt0492389,"Furry Vengeance","Comedy, Family",3.9,18531,2010
tt7510346,"The Turning","Drama, Horror, Mystery",3.9,16586,2020
tt8066940,"Indian 2","Action, Drama, Thriller",3.9,15750,2024
tt14865406,"Deep Fear","Action, Horror, Thriller",3.9,15569,2023
tt0106761,"Double Dragon","Action, Adventure, Comedy",3.9,14110,1994
tt1712159,11-11-11,"Horror, Mystery, Thriller",3.9,12657,2011
tt1273221,"London Fields","Crime, Mystery, Thriller",3.9,12516,2018
tt0160236,"Dudley Do-Right","Comedy, Family, Romance",3.9,11519,1999
tt11771594,"American Pie Presents: Girls' Rules","Comedy, Romance",3.9,11318,2020
tt2364897,"The Disappointments Room","Drama, Horror, Thriller",3.9,10918,2016
tt1045655,"The Haunting of Molly Hartley","Drama, Horror, Thriller",3.9,10233,2008
tt6027920,"The Iron Throne","Action, Adventure, Drama",4,268150,2019
tt0938283,"The Last Airbender","Action, Adventure, Family",4,176909,2010
tt11057302,"Madame Web","Action, Adventure, Sci-Fi",4,92092,2024
tt0120179,"Speed 2: Cruise Control","Action, Adventure, Crime",4,87261,1997
tt3679040,"Kisi Ka Bhai Kisi Ki Jaan","Action, Comedy, Drama",4,41267,2023
tt0229260,"Book of Shadows: Blair Witch 2","Adventure, Fantasy, Horror",4,40694,2000
tt0479968,"One Missed Call","Horror, Mystery",4,34437,2008
tt0433412,"Material Girls","Comedy, Family, Romance",4,22865,2006
tt3062074,"Sharknado 2: The Second One","Action, Adventure, Comedy",4,20891,2014
tt10230426,"Mrs. Serial Killer","Crime, Drama, Thriller",4,19219,2020
tt2034139,"The Last Exorcism Part II","Horror, Thriller",4,17174,2013
tt8907992,"The Girl on the Train","Crime, Drama, Mystery",4,15145,2021
tt4600952,"The Guardians","Action, Adventure, Comedy",4,14756,2017
tt3899796,"Sharknado 3: Oh Hell No!","Action, Adventure, Comedy",4,14127,2015
tt14502344,They/Them,"Drama, Horror, Mystery",4,12424,2022
tt10303324,"Survive the Night","Action, Drama, Thriller",4,12098,2020
tt9625664,"Trauma Center","Action, Thriller",4,12073,2019
tt0212235,"Shriek If You Know What I Did Last Friday the Thirteenth","Comedy, Horror",4,11691,2000
tt11253090,Annaatthe,"Action, Comedy, Drama",4,10926,2021
