id,title,type,genres,averageRating,numVotes,releaseYear
tt0436992,Doctor Who,tvseries,"Adventure, Drama, Sci-Fi",8.5,252666,2005
tt1839578,Person of Interest,tvseries,"Action, Crime, Drama",8.5,193700,2011
tt3230854,The Expanse,tvseries,"Drama, Mystery, Sci-Fi",8.5,177711,2015
tt4179452,The Last Kingdom,tvseries,"Action, Drama, History",8.5,172576,2015
tt2575988,Silicon Valley,tvseries,Comedy,8.5,170086,2014
tt0487831,The IT Crowd,tvseries,Comedy,8.5,167616,2006
tt3526078,Schitt's Creek,tvseries,Comedy,8.5,152742,2015
tt1758429,Spartacus: Gods of the Arena,tvseries,"Action, Adventure, Biography",8.5,148003,2011
tt12343534,Jujutsu Kaisen,tvseries,"Action, Adventure, Animation",8.5,135337,2020
tt0290978,The Office,tvseries,"Comedy, Drama",8.5,125773,2001
tt5189670,Making a Murderer,tvseries,"Crime, Documentary",8.5,104416,2015
tt6077448,Sacred Games,tvseries,"Action, Crime, Drama",8.5,94294,2018
tt0112159,Neon Genesis Evangelion,tvseries,"Action, Animation, Drama",8.5,91294,1995
tt3502248,Bosch,tvseries,"Crime, Drama",8.5,86202,2014
tt10638036,Heartstopper,tvseries,"Drama, Romance",8.5,83614,2022
tt1492966,Louie,tvseries,"Comedy, Drama",8.5,83042,2010
tt0314979,Battlestar Galactica,tvseries,"Action, Adventure, Drama",8.5,81649,2003
tt0421357,Fullmetal Alchemist,tvseries,"Action, Adventure, Animation",8.5,79764,2003
tt4093826,Twin Peaks,tvseries,"Crime, Drama, Horror",8.5,78561,2017
tt0088509,Dragon Ball,tvseries,"Action, Adventure, Animation",8.5,69086,1986
tt11912196,Asur: Welcome to Your Dark Side,tvseries,"Crime, Drama, Mystery",8.5,67235,2020
tt0863046,Flight of the Conchords,tvseries,"Comedy, Music, Musical",8.5,67083,2007
tt0280249,Dragon Ball,tvseries,"Action, Adventure, Animation",8.5,67015,1995
tt3428912,Happy Valley,tvseries,"Crime, Drama, Thriller",8.5,66964,2014
tt0068098,M*A*S*H,tvseries,"Comedy, Drama, War",8.5,65405,1972
tt7120662,Derry Girls,tvseries,Comedy,8.5,64754,2018
tt1710308,Regular Show,tvseries,"Action, Adventure, Animation",8.5,62217,2010
tt0278238,Samurai Jack,tvseries,"Action, Adventure, Animation",8.5,61491,2001
tt0187664,Spaced,tvseries,Comedy,8.5,58583,1999
tt0423731,Samurai Champloo,tvseries,"Action, Adventure, Animation",8.5,57415,2004
tt2937900,The Knick,tvseries,"Drama, History",8.5,53451,2014
tt0275137,Justice League,tvseries,"Action, Adventure, Animation",8.5,53160,2001
tt8289930,Formula 1: Drive to Survive,tvseries,"Documentary, Sport",8.5,53006,2019
tt0290988,Trailer Park Boys,tvseries,"Comedy, Crime",8.5,52509,2001
tt0402711,Boston Legal,tvseries,"Comedy, Crime, Drama",8.5,50944,2004
tt5897304,Mob Psycho 100,tvseries,"Action, Animation, Comedy",8.5,50102,2016
tt0237123,Coupling,tvseries,"Comedy, Romance",8.5,48341,2000
tt0163507,Whose Line Is It Anyway?,tvseries,"Comedy, Game-Show",8.5,47141,1998
tt3895150,Your Lie in April,tvseries,"Animation, Comedy, Drama",8.5,40372,2014
tt2359704,JoJo's Bizarre Adventure,tvseries,"Action, Adventure, Animation",8.5,38544,2012
tt0373732,The Boondocks,tvseries,"Action, Animation, Comedy",8.5,37091,2005
tt12714854,Mumbai Diaries,tvseries,"Drama, Thriller",8.5,30882,2021
tt1526318,Borgen,tvseries,Drama,8.5,30637,2010
tt11301642,Ethos,tvseries,"Drama, Thriller",8.5,30156,2020
tt1299368,Southland,tvseries,"Crime, Drama, Thriller",8.5,29600,2009
tt0043208,I Love Lucy,tvseries,Comedy,8.5,29500,1951
tt10802170,The Rehearsal,tvseries,"Comedy, Documentary",8.5,27288,2022
tt9398466,Delhi Crime,tvseries,"Crime, Drama",8.5,26960,2019
tt16296870,The Railway Men,tvseries,"Drama, History, Thriller",8.5,25440,2023
tt0075520,Jesus of Nazareth,tvseries,"Biography, Drama, History",8.5,25422,1977
tt1353056,RuPaul's Drag Race,tvseries,"Game-Show, Reality-TV",8.5,23975,2009
tt0088727,Anne of Green Gables,tvseries,"Drama, Family",8.5,23208,1985
tt0262985,Queer as Folk,tvseries,"Drama, Romance",8.5,22867,2000
tt9522300,Kaguya-sama: Love is War,tvseries,"Animation, Comedy, Romance",8.5,22137,2019
tt11407524,Hostel Daze,tvseries,"Comedy, Drama",8.5,21552,2019
tt2674806,Inside No. 9,tvseries,"Comedy, Crime, Drama",8.5,21512,2014
tt0346314,Ghost in the Shell: Stand Alone Complex,tvseries,"Action, Animation, Crime",8.5,21403,2002
tt7259746,Queer Eye,tvseries,Reality-TV,8.5,21373,2018
tt0182629,Rurouni Kenshin,tvseries,"Action, Adventure, Animation",8.5,20946,1996
tt6005644,TVF Tripling,tvseries,"Comedy, Drama",8.5,20772,2016
tt1094229,Heartland,tvseries,"Drama, Family",8.5,20716,2007
tt0397150,Garth Marenghi's Darkplace,tvseries,"Comedy, Fantasy, Horror",8.5,20549,2004
tt3673794,Kingdom,tvseries,"Drama, Sport",8.5,20067,2014
tt2155025,Please Like Me,tvseries,"Comedy, Drama, Romance",8.5,20011,2013
tt0047708,Alfred Hitchcock Presents,tvseries,"Crime, Drama, Mystery",8.5,19662,1955
tt12074628,Smiling Friends,tvseries,"Animation, Comedy, Short",8.5,19657,2020
tt0493331,Barareh Nights,tvseries,Comedy,8.5,18764,2005
tt5425186,Horace and Pete,tvseries,"Comedy, Drama",8.5,17778,2016
tt0070644,Scenes from a Marriage,tvseries,Drama,8.5,17446,1973
tt4295140,Chef's Table,tvseries,"Biography, Documentary",8.5,17282,2015
tt0185133,Yu Yu Hakusho: Ghost Files,tvseries,"Action, Adventure, Animation",8.5,16681,1992
tt1230180,The Angry Video Game Nerd,tvseries,"Action, Comedy, Sci-Fi",8.5,16014,2004
tt0131179,Detective Conan,tvseries,"Action, Animation, Comedy",8.5,15982,1996
tt6958022,The Defiant Ones,tvseries,"Biography, Crime, Documentary",8.5,15789,2017
tt11691684,Flower of Evil,tvseries,"Crime, Mystery, Romance",8.5,15458,2020
tt0061287,The Prisoner,tvseries,"Drama, Mystery, Sci-Fi",8.5,15374,1967
